Year,Local Government Area,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,(blank)
2022,Hindmarsh,53,156,12,24,57,2,
2022,Hobsons Bay,719,2869,116,197,522,177,
2022,Horsham,408,586,68,102,411,33,
2022,Hume,2630,6266,513,544,1887,356,
2022,Indigo,109,240,15,26,55,20,
2022,Kingston,1188,4052,218,267,999,99,
2022,Knox,1171,3481,553,307,950,169,
2022,Latrobe,1809,3137,417,576,1811,76,
2022,Loddon,97,176,17,22,70,5,
2022,Macedon Ranges,282,604,81,67,237,120,
2022,Manningham,521,1759,137,103,283,64,
2022,Mansfield,73,96,24,47,55,44,
2022,Maribyrnong,880,5008,194,251,521,171,
2022,Maroondah,1027,2387,247,245,1143,44,
2022,Melbourne,3749,12936,1289,1815,2547,2700,
2022,Melton,1987,5010,269,286,1093,160,
2022,Mildura,985,2280,207,340,897,186,
2022,Mitchell,687,910,82,112,486,74,
2022,Moira,276,733,73,105,325,60,
2022,Monash,1275,5442,306,254,890,142,
2022,Moonee Valley,951,3788,201,246,655,178,
2022,Moorabool,284,769,65,69,245,142,
2022,Moreland,1459,6133,210,242,1007,122,
2022,Mornington Peninsula,1181,3097,345,431,1063,302,
2022,Mount Alexander,144,379,26,24,113,31,
2022,Moyne,145,272,20,28,73,9,
2022,Murrindindi,178,193,23,19,92,26,
2022,Nillumbik,283,714,49,55,192,26,
2022,Northern Grampians,196,245,93,66,176,31,
2022,Port Phillip,1394,5908,318,420,843,274,
2022,Pyrenees,46,176,6,7,54,14,
2022,Queenscliffe,16,82,,8,1,11,
2022,South Gippsland,348,500,26,28,277,16,
2022,Southern Grampians,213,288,49,44,182,23,
2022,Stonnington,1081,5359,255,410,563,152,
2022,Strathbogie,109,183,14,14,117,10,
2022,Surf Coast,235,599,25,43,113,34,
2022,Swan Hill,378,595,77,144,407,96,
2022,Towong,27,87,1,14,13,7,
2022,Wangaratta,392,645,99,129,357,33,
2022,Warrnambool,518,845,101,141,494,109,
2022,Wellington,753,1275,90,144,627,74,
2022,West Wimmera,40,57,3,7,20,24,
2022,Whitehorse,972,3566,154,162,551,54,
2022,Whittlesea,1934,4704,449,355,1365,131,
2022,Wodonga,486,1325,113,124,439,195,
2022,Wyndham,2663,6922,333,475,1463,238,
2022,Yarra,1382,5578,355,381,811,283,
2022,Yarra Ranges,1120,2480,218,213,764,191,
2022,Yarriambiack,83,113,9,21,60,18,
