Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2022,March,Bass Coast,2 Community,25 Other Transport,253 Boat,3
2022,March,Bass Coast,2 Community,25 Other Transport,254 Dock/Wharf,2
2022,March,Bass Coast,2 Community,25 Other Transport,255 Carpark (Single Level),28
2022,March,Bass Coast,2 Community,25 Other Transport,257 Other Transport Type/Area,4
2022,March,Bass Coast,2 Community,26 Justice,261 Police Station,16
2022,March,Bass Coast,2 Community,26 Justice,265 Other Justice Facility,1
2022,March,Bass Coast,2 Community,27 Open Space,271 Parkland/Reserve,22
2022,March,Bass Coast,2 Community,27 Open Space,272 Rural,5
2022,March,Bass Coast,2 Community,27 Open Space,273 Vacant Block,2
2022,March,Bass Coast,2 Community,27 Open Space,274 Beach Foreshore,16
2022,March,Bass Coast,2 Community,27 Open Space,275 Other Open Space,10
2022,March,Bass Coast,2 Community,27 Open Space,276 Beach Car Park,13
2022,March,Bass Coast,2 Community,28 Street/footpath,281 Street/Lane/Footpath,260
2022,March,Bass Coast,2 Community,29 Other community location,291 Cemetery,1
2022,March,Bass Coast,2 Community,29 Other community location,292 Civic Centre,5
2022,March,Bass Coast,2 Community,29 Other community location,294 Car Wash,1
2022,March,Bass Coast,3 Other,31 Admin/professional,311 Business Office,5
2022,March,Bass Coast,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2022,March,Bass Coast,3 Other,32 Financial,321 Bank,3
2022,March,Bass Coast,3 Other,33 Retail,331 Chemist/Pharmacy,1
2022,March,Bass Coast,3 Other,33 Retail,3310 24Hr Convenience,2
2022,March,Bass Coast,3 Other,33 Retail,3311 Restaurant/Fastfood,23
2022,March,Bass Coast,3 Other,33 Retail,3312 Other Retail,67
2022,March,Bass Coast,3 Other,33 Retail,332 Service Station,27
2022,March,Bass Coast,3 Other,33 Retail,335 Supermarket,31
2022,March,Bass Coast,3 Other,33 Retail,336 Department Store,3
2022,March,Bass Coast,3 Other,33 Retail,337 Shopping Complex,30
2022,March,Bass Coast,3 Other,33 Retail,338 Car Sales Yard,2
2022,March,Bass Coast,3 Other,33 Retail,339 Milkbar,4
2022,March,Bass Coast,3 Other,34 Wholesale,341 Any Wholesale,1
2022,March,Bass Coast,3 Other,35 Warehousing/storage,351 Warehousing/Storage,23
2022,March,Bass Coast,3 Other,36 Manufacturing,361 Factory,9
2022,March,Bass Coast,3 Other,36 Manufacturing,362 Any Manufacturing,2
2022,March,Bass Coast,3 Other,37 Agricultural,371 Farmland/Agricultural,18
2022,March,Bass Coast,3 Other,37 Agricultural,373 Other Agricultural,2
2022,March,Bass Coast,3 Other,38 Recreational,381 Licensed Premises,35
2022,March,Bass Coast,3 Other,38 Recreational,384 Sport Area/Facility,4
2022,March,Bass Coast,3 Other,38 Recreational,385 Gaming Venue,2
2022,March,Bass Coast,3 Other,38 Recreational,386 Other Rec./Sports,10
2022,March,Bass Coast,3 Other,39 Other location,392 Other Location (Not Elsewhere),23
2022,March,Bass Coast,3 Other,39 Other location,393 Construction Site,4
2022,March,Baw Baw,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,54
2022,March,Baw Baw,1 Residential,11 Dwelling - private,112 House,1049
