year,region_name,lga_name,incident_count,rate_per_100000pop
2019,2 Eastern,Manningham,3410,2672.727985265
2019,2 Eastern,Mansfield,321,3498.63760218
2019,2 Eastern,Maroondah,6034,5089.019895588
2019,2 Eastern,Mitchell,3034,6583.201336603
2019,2 Eastern,Moira,1682,5621.657754011
2019,2 Eastern,Monash,8030,3957.692610993
2019,2 Eastern,Murrindindi,593,4070.565623284
2019,2 Eastern,South Gippsland,995,3326.646606486
2019,2 Eastern,Strathbogie,448,4156.615327519
2019,2 Eastern,Towong,173,2864.712700778
2019,2 Eastern,Wangaratta,1639,5616.091008772
2019,2 Eastern,Wellington,2921,6582.090224886
2019,2 Eastern,Whitehorse,6361,3558.024152725
2019,2 Eastern,Wodonga,2420,5750.540598341
2019,2 Eastern,Yarra Ranges,5767,3616.263466145
2019,3 Southern Metro,Bayside,3606,3374.635022834
2019,3 Southern Metro,Cardinia,4697,4187.058183796
2019,3 Southern Metro,Casey,16217,4581.565252767
2019,3 Southern Metro,Frankston,11156,7820.813908654
2019,3 Southern Metro,Glen Eira,4892,3125.179672278
2019,3 Southern Metro,Greater Dandenong,14195,8436.298369795
2019,3 Southern Metro,Kingston,8608,5191.672094762
2019,3 Southern Metro,Mornington Peninsula,8161,4868.779792267
2019,3 Southern Metro,Port Phillip,9650,8346.306867324
2019,3 Southern Metro,Stonnington,8170,6936.897160712
2019,4 Western,Ararat,912,7700.101317123
2019,4 Western,Ballarat,8129,7423.473115137
2019,4 Western,Buloke,214,3495.018781643
2019,4 Western,Campaspe,2919,7760.202047056
2019,4 Western,Central Goldfields,917,6956.455773024
2019,4 Western,Colac-Otway,1320,6121.881087098
2019,4 Western,Corangamite,487,3040.519448086
2019,4 Western,Gannawarra,581,5549.718215684
2019,4 Western,Glenelg,956,4859.946113568
2019,4 Western,Golden Plains,510,2149.903043588
2019,4 Western,Greater Bendigo,8092,6852.342684879
2019,4 Western,Greater Geelong,15777,6092.964338954
2019,4 Western,Hepburn,619,3875.289551118
2019,4 Western,Hindmarsh,249,4457.572502685
2019,4 Western,Horsham,1436,7208.835341365
2019,4 Western,Loddon,386,5145.29458811
2019,4 Western,Macedon Ranges,1782,3547.680668923
2019,4 Western,Mildura,5493,9847.792179853
2019,4 Western,Moorabool,1633,4658.925565604
2019,4 Western,Mount Alexander,751,3802.33912207
2019,4 Western,Moyne,458,2701.746106654
2019,4 Western,Northern Grampians,762,6683.624243487
2019,4 Western,Pyrenees,419,5609.103078983
2019,4 Western,Queenscliffe,118,4014.971078598
2019,4 Western,Southern Grampians,1108,6882.842589142
2019,4 Western,Surf Coast,899,2687.031114565
2019,4 Western,Swan Hill,1868,9046.004842615
2019,4 Western,Warrnambool,3007,8547.227196498
2019,4 Western,West Wimmera,125,3256.056264652
2019,4 Western,Yarriambiack,320,4821.455476872
2019,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,1483,
2019,Unincorporated Vic,Unincorporated Vic,95,
