,Year,Local Government Area,Charge Status,Incidents Recorded
365,2021,Maroondah,Unsolved,1955
366,2021,Melbourne,Charges laid,9306
367,2021,Melbourne,No charges laid,7522
368,2021,Melbourne,Unsolved,9129
369,2021,Melton,Charges laid,3888
370,2021,Melton,No charges laid,1913
371,2021,Melton,Unsolved,4082
372,2021,Mildura,Charges laid,2255
373,2021,Mildura,No charges laid,1011
374,2021,Mildura,Unsolved,1139
375,2021,Mitchell,Charges laid,1575
376,2021,Mitchell,No charges laid,810
377,2021,Mitchell,Unsolved,778
378,2021,Moira,Charges laid,780
379,2021,Moira,No charges laid,337
380,2021,Moira,Unsolved,513
381,2021,Monash,Charges laid,3245
382,2021,Monash,No charges laid,1934
383,2021,Monash,Unsolved,4393
384,2021,Moonee Valley,Charges laid,1868
385,2021,Moonee Valley,No charges laid,1492
386,2021,Moonee Valley,Unsolved,2748
387,2021,Moorabool,Charges laid,702
388,2021,Moorabool,No charges laid,556
389,2021,Moorabool,Unsolved,732
390,2021,Moreland,Charges laid,3158
391,2021,Moreland,No charges laid,1969
392,2021,Moreland,Unsolved,5021
393,2021,Mornington Peninsula,Charges laid,2936
394,2021,Mornington Peninsula,No charges laid,2233
395,2021,Mornington Peninsula,Unsolved,2448
396,2021,Mount Alexander,Charges laid,356
397,2021,Mount Alexander,No charges laid,146
398,2021,Mount Alexander,Unsolved,226
399,2021,Moyne,Charges laid,225
400,2021,Moyne,No charges laid,122
401,2021,Moyne,Unsolved,162
402,2021,Murrindindi,Charges laid,245
403,2021,Murrindindi,No charges laid,207
404,2021,Murrindindi,Unsolved,211
405,2021,Nillumbik,Charges laid,561
406,2021,Nillumbik,No charges laid,365
407,2021,Nillumbik,Unsolved,596
408,2021,Northern Grampians,Charges laid,411
409,2021,Northern Grampians,No charges laid,258
410,2021,Northern Grampians,Unsolved,225
411,2021,Port Phillip,Charges laid,3210
412,2021,Port Phillip,No charges laid,2131
413,2021,Port Phillip,Unsolved,4834
414,2021,Pyrenees,Charges laid,127
415,2021,Pyrenees,No charges laid,70
416,2021,Pyrenees,Unsolved,147
417,2021,Queenscliffe,Charges laid,20
418,2021,Queenscliffe,No charges laid,11
419,2021,Queenscliffe,Unsolved,50
420,2021,South Gippsland,Charges laid,608
421,2021,South Gippsland,No charges laid,307
422,2021,South Gippsland,Unsolved,349
423,2021,Southern Grampians,Charges laid,435
424,2021,Southern Grampians,No charges laid,185
425,2021,Southern Grampians,Unsolved,171
426,2021,Stonnington,Charges laid,2779
427,2021,Stonnington,No charges laid,1969
428,2021,Stonnington,Unsolved,4195
429,2021,Strathbogie,Charges laid,196
430,2021,Strathbogie,No charges laid,105
431,2021,Strathbogie,Unsolved,152
432,2021,Surf Coast,Charges laid,402
433,2021,Surf Coast,No charges laid,255
434,2021,Surf Coast,Unsolved,507
435,2021,Swan Hill,Charges laid,1015
436,2021,Swan Hill,No charges laid,512
437,2021,Swan Hill,Unsolved,330
438,2021,Towong,Charges laid,71
439,2021,Towong,No charges laid,32
440,2021,Towong,Unsolved,50
441,2021,Wangaratta,Charges laid,836
442,2021,Wangaratta,No charges laid,485
443,2021,Wangaratta,Unsolved,337
444,2021,Warrnambool,Charges laid,1217
445,2021,Warrnambool,No charges laid,437
446,2021,Warrnambool,Unsolved,546
447,2021,Wellington,Charges laid,1630
448,2021,Wellington,No charges laid,809
449,2021,Wellington,Unsolved,779
450,2021,West Wimmera,Charges laid,51
451,2021,West Wimmera,No charges laid,25
452,2021,West Wimmera,Unsolved,46
453,2021,Whitehorse,Charges laid,2304
454,2021,Whitehorse,No charges laid,1286
455,2021,Whitehorse,Unsolved,3357
456,2021,Whittlesea,Charges laid,4532
457,2021,Whittlesea,No charges laid,2905
458,2021,Whittlesea,Unsolved,4016
459,2021,Wodonga,Charges laid,1066
460,2021,Wodonga,No charges laid,575
461,2021,Wodonga,Unsolved,776
462,2021,Wyndham,Charges laid,4959
463,2021,Wyndham,No charges laid,2718
464,2021,Wyndham,Unsolved,5029
465,2021,Yarra,Charges laid,3579
466,2021,Yarra,No charges laid,2304
467,2021,Yarra,Unsolved,4944
468,2021,Yarra Ranges,Charges laid,2381
469,2021,Yarra Ranges,No charges laid,1593
470,2021,Yarra Ranges,Unsolved,2137
471,2021,Yarriambiack,Charges laid,138
472,2021,Yarriambiack,No charges laid,87
473,2021,Yarriambiack,Unsolved,108
474,2020,Alpine,Charges laid,224
475,2020,Alpine,No charges laid,90
476,2020,Alpine,Unsolved,124
477,2020,Ararat,Charges laid,476
478,2020,Ararat,No charges laid,156
479,2020,Ararat,Unsolved,262
480,2020,Ballarat,Charges laid,3479
481,2020,Ballarat,No charges laid,753
482,2020,Ballarat,Unsolved,4479
